mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.6121472517649333,0.11433552275023795,0.02387714385986328,0.0011791222331772036,0.749816047538945,0.2952142919229748,5,171,0.8394633936788146,"{'colsample_bytree': np.float64(0.749816047538945), 'learning_rate': np.float64(0.2952142919229748), 'max_depth': 5, 'n_estimators': 171, 'subsample': np.float64(0.8394633936788146)}",0.9775435802086353,0.9841461878180074,0.973864430858331,0.9785180662949912,0.004253692426887485,2
2.114640474319458,0.3229864726394937,0.039853572845458984,0.004767312504457277,0.6624074561769746,0.05679835610086079,5,187,0.7334834444556088,"{'colsample_bytree': np.float64(0.6624074561769746), 'learning_rate': np.float64(0.05679835610086079), 'max_depth': 5, 'n_estimators': 187, 'subsample': np.float64(0.7334834444556088)}",0.9768840429113567,0.98303842778718,0.9725258173662161,0.977482762688251,0.004312585728166084,6
3.0531324545542398,0.4895003522752345,0.039459546407063804,0.007847042372270123,0.6571467271687763,0.20526654188465587,7,357,0.8887995089067299,"{'colsample_bytree': np.float64(0.6571467271687763), 'learning_rate': np.float64(0.20526654188465587), 'max_depth': 7, 'n_estimators': 357, 'subsample': np.float64(0.8887995089067299)}",0.9760985640156402,0.9841324405033604,0.9708340404821004,0.9770216816670336,0.005468148402649481,9
4.353164990743001,0.6881175171792999,0.05943648020426432,0.00364566539426574,0.9754210836063001,0.010233629752304298,6,376,0.8469926038510867,"{'colsample_bytree': np.float64(0.9754210836063001), 'learning_rate': np.float64(0.010233629752304298), 'max_depth': 6, 'n_estimators': 376, 'subsample': np.float64(0.8469926038510867)}",0.9751060285819836,0.9828326481882766,0.9709188626086918,0.9762858464596507,0.004934811673368995,12
1.2472285429636638,0.23386846113741108,0.0250704288482666,0.00269175321258648,0.8446612641953124,0.012119891565915222,3,148,0.8099098641033556,"{'colsample_bytree': np.float64(0.8446612641953124), 'learning_rate': np.float64(0.012119891565915222), 'max_depth': 3, 'n_estimators': 148, 'subsample': np.float64(0.8099098641033556)}",0.9522075753168685,0.9494164016535372,0.9436707600412241,0.9484315790038766,0.003554031560644189,16
4.786959330240886,0.8224700871693386,0.06936128934224446,0.01337292885848114,0.7599443886861021,0.023999698964084628,6,370,0.7824279936868144,"{'colsample_bytree': np.float64(0.7599443886861021), 'learning_rate': np.float64(0.023999698964084628), 'max_depth': 6, 'n_estimators': 370, 'subsample': np.float64(0.7824279936868144)}",0.9766188736215047,0.9829320107172159,0.9767161138812418,0.9787556660733209,0.0029533884331359723,1
3.175661484400431,0.6418904038596757,0.042813380559285484,0.006140278729584715,0.9140703845572055,0.06990213464750791,6,230,0.9439761626945282,"{'colsample_bytree': np.float64(0.9140703845572055), 'learning_rate': np.float64(0.06990213464750791), 'max_depth': 6, 'n_estimators': 230, 'subsample': np.float64(0.9439761626945282)}",0.9720327231635714,0.9852334627684947,0.9759232334696102,0.9777298064672254,0.005538511293722164,3
1.6536376476287842,0.21694956798817083,0.02496449152628581,0.001139347358078498,0.8721230154351118,0.1451497755908629,4,188,0.9862528132298237,"{'colsample_bytree': np.float64(0.8721230154351118), 'learning_rate': np.float64(0.1451497755908629), 'max_depth': 4, 'n_estimators': 188, 'subsample': np.float64(0.9862528132298237)}",0.9744597868384197,0.9837835266204281,0.9746024533393075,0.977615255599385,0.0043620151286913305,4
1.9792417685190837,0.35560015827229075,0.034093379974365234,0.007830775419408954,0.9233589392465844,0.10138413075201119,7,191,0.7760609974958406,"{'colsample_bytree': np.float64(0.9233589392465844), 'learning_rate': np.float64(0.10138413075201119), 'max_depth': 7, 'n_estimators': 191, 'subsample': np.float64(0.7760609974958406)}",0.9743591663813053,0.982419562154233,0.9753641042351529,0.9773809442568971,0.003586384229186788,7
2.6041855017344155,0.4311650851027914,0.04310218493143717,0.009582538126705275,0.6488152939379115,0.15855307303338106,5,305,0.7564242430292963,"{'colsample_bytree': np.float64(0.6488152939379115), 'learning_rate': np.float64(0.15855307303338106), 'max_depth': 5, 'n_estimators': 305, 'subsample': np.float64(0.7564242430292963)}",0.9724528010582713,0.9822913861415454,0.9704058603059692,0.975050015835262,0.005188164386074756,14
2.9960978825887046,0.4136751523540343,0.038636366526285805,0.0036264440825888302,0.672894435115225,0.23660842309529573,4,359,0.6739417822102108,"{'colsample_bytree': np.float64(0.672894435115225), 'learning_rate': np.float64(0.23660842309529573), 'max_depth': 4, 'n_estimators': 359, 'subsample': np.float64(0.6739417822102108)}",0.9748701289374977,0.9808442585625528,0.9701002371709359,0.9752715415569955,0.0043954027486454075,13
2.2974138259887695,0.3944690370177034,0.031139055887858074,0.0034561627192906566,0.9878338511058234,0.24253984700833436,4,301,0.9579309401710595,"{'colsample_bytree': np.float64(0.9878338511058234), 'learning_rate': np.float64(0.24253984700833436), 'max_depth': 4, 'n_estimators': 301, 'subsample': np.float64(0.9579309401710595)}",0.9763399371362247,0.9802275915678785,0.9759490063939242,0.9775055116993426,0.0019314063648605577,5
2.4634885787963867,0.5672808581370006,0.03652604420979818,0.013058972229567391,0.8391599915244341,0.28656227050693506,6,289,0.7301321323053057,"{'colsample_bytree': np.float64(0.8391599915244341), 'learning_rate': np.float64(0.28656227050693506), 'max_depth': 6, 'n_estimators': 289, 'subsample': np.float64(0.7301321323053057)}",0.9759692465487128,0.9837921739741451,0.9707741300445015,0.9768451835224531,0.005350564837784667,10
