mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6152963638305664,0.008698369221702803,0.02633508046468099,0.0009655854207652344,9,sqrt,3,6,120,"{'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 120}",0.937411341889931,0.9443351599903621,0.9291566469545419,0.9369677162782782,0.0062045369022528715,8
0.7924524943033854,0.034716668340115844,0.03945628801981608,0.0020237754188488916,9,log2,3,4,187,"{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 187}",0.9394966567174599,0.9519863236457201,0.936298584356458,0.942593854906546,0.006768592589739937,6
3.373527924219767,0.018486665658330934,0.046913703282674156,0.001418640490239525,6,,5,3,393,"{'max_depth': 6, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 393}",0.7343313794133828,0.7147214154368949,0.722235753136311,0.7237628493288629,0.00807822954513209,16
0.35965609550476074,0.026852579979839815,0.017952601114908855,0.0009943543530281356,4,sqrt,1,5,121,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 121}",0.8394124314908457,0.7760178589149773,0.8237944223243105,0.8130749042433778,0.026967869881704805,15
0.6914412975311279,0.01938774860306951,0.029488245646158855,0.0025125275679202257,14,sqrt,1,4,158,"{'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 158}",0.9519058542132363,0.9641470260580619,0.9469046048993125,0.9543191617235368,0.007243079994421223,2
2.040081024169922,0.1446736390646828,0.026108503341674805,0.00431950593290537,12,,3,5,154,"{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 154}",0.8299505484510857,0.8509851448037307,0.8849784958979597,0.8553047297175921,0.022671757179730995,14
0.7816884517669678,0.017867711844430936,0.03241666158040365,0.0023538959322986453,5,sqrt,3,6,266,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 266}",0.8653066099458766,0.8600066557796832,0.8591154770900734,0.861476247605211,0.002732801567353579,13
1.0366849104563396,0.03427672059627564,0.04151646296183268,0.0036427995914143155,6,sqrt,4,7,341,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 341}",0.8863239276849516,0.896150054932183,0.8913614405884701,0.8912784744018682,0.004011928606109982,12
0.6473259925842285,0.0055553218538896675,0.03327822685241699,0.004333610776081386,11,log2,5,3,191,"{'max_depth': 11, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 191}",0.9398617010411303,0.9603569569843209,0.9381154841329887,0.94611138071948,0.010098338170564465,5
5.493196328481038,0.29698745963190437,0.08681575457255046,0.03471004722400522,17,,4,6,363,"{'max_depth': 17, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 363}",0.9052118063733189,0.9326092934705525,0.9243764911658302,0.9207325303365672,0.01147793281924562,11
2.2973900636037192,0.3213768464404682,0.02462140719095866,0.00400050869383429,17,,1,5,149,"{'max_depth': 17, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 149}",0.9049119271524436,0.9346951394827324,0.9262150023463075,0.9219406896604946,0.012528959676946927,10
0.9230645497639974,0.05941313794955519,0.045415242513020836,0.006558245592201619,10,log2,2,5,290,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 290}",0.9473477838884193,0.9633306568887366,0.9398909289096302,0.9501897898955954,0.009777967087360057,3
1.4845596154530842,0.03942473280356233,0.08227260907491048,0.030398838813323423,14,log2,2,7,369,"{'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 369}",0.9544709190592232,0.9693402041351553,0.9527984392444466,0.958869854146275,0.007435073137947489,1
4.14121691385905,0.11169095042758426,0.04756657282511393,0.002337391712618561,18,,4,2,289,"{'max_depth': 18, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 289}",0.9151658019430681,0.9380801328461033,0.9287032820847311,0.9273164056246341,0.00940599843788089,9
0.5492800871531168,0.03367780518801014,0.023372411727905273,0.003955449174678159,10,sqrt,5,3,152,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 152}",0.9393733656390438,0.9452995342554297,0.9307893703972845,0.938487423430586,0.005956782352640898,7
0.6093907356262207,0.013969202589136809,0.028218746185302734,0.004150297277123362,15,sqrt,5,6,164,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 164}",0.9415876864922578,0.9584288453817483,0.9460103900602262,0.9486756406447441,0.007128993790335883,4
